Pathway,AMCF,genes
AKT_Pathway_Caspase_Cascade,0.0,AKT1 AKT2 AKT3 CASP9 CDC37 HSP90AA1 PDPK1 PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CD PIK3R3 PIK3R4 PIK3R5 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R2A PPP2R2B PPP2R2C PPP2R3A PPP2R3B PPP2R4 PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PRKDC PTEN THEM4 
AKT_Pathway_Cell_Cycle,0.0,AKT1 AKT2 AKT3 CCND1 CCND2 CCND3 GSK3A GSK3B 
AKT_Pathway_Cell_Cycle_Progression,0.0,AKT1 AKT2 AKT3 CDC37 CDKN1A CDKN1B HSP90AA1 IRS1 PDPK1 PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CD PIK3R1 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R2A PPP2R2B PPP2R2C PPP2R3A PPP2R3B PPP2R4 PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PRKDC PTEN THEM4 
AKT_Pathway_Cell_Survival,0.0,AKT1 AKT2 AKT3 AR BAD FOXO1 
AKT_Pathway_Death_Genes,0.0,AKT1 AKT2 AKT3 CDC37 FOXO1 HSP90AA1 PDPK1 PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CD PIK3R1 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R2A PPP2R2B PPP2R2C PPP2R3A PPP2R3B PPP2R4 PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PRKDC PTEN THEM4 
AKT_Pathway_Elevation_of_Glucose_Import,0.0,AKT1 AKT2 AKT3 CDC37 HSP90AA1 PDPK1 PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CD PIK3R1 PIK3R1 PIK3R2 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R2A PPP2R2B PPP2R2C PPP2R3A PPP2R3B PPP2R4 PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PRKDC PTEN SLC2A4 THEM4 
AKT_Pathway_ERK_Pathway,0.0,AKT1 AKT2 AKT3 CDC37 HSP90AA1 PDPK1 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R2A PPP2R2B PPP2R2C PPP2R3A PPP2R3B PPP2R4 PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PRKDC RAF1 THEM4 
AKT_Pathway_Genetic_Stability,0.0,AKT1 AKT2 AKT3 CDC37 CHEK1 HSP90AA1 IRS1 PDPK1 PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CD PIK3R1 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R2A PPP2R2B PPP2R2C PPP2R3A PPP2R3B PPP2R4 PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PRKDC PTEN THEM4 
AKT_Pathway_Glucose_Uptake,0.0,AKT1 AKT2 AKT3 CDC37 HSP90AA1 PDPK1 PFKFB1 PFKFB2 PFKFB3 PFKFB4 PFKL PFKM PFKP PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CD PIK3R1 PIK3R1 PIK3R2 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R2A PPP2R2B PPP2R2C PPP2R3A PPP2R3B PPP2R4 PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PRKDC PTEN THEM4 
AKT_Pathway_Glycogen_Synthesis,0.0,AKT1 AKT2 AKT3 GSK3A GSK3B GYS1 GYS2 
AKT_Pathway_Insulin_Stimulated_Mitogenesis,0.0,AKT1 AKT2 AKT3 CDC37 HSP90AA1 PDPK1 PFKFB1 PFKFB2 PFKFB3 PFKFB4 PFKL PFKM PFKP PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CD PIK3R1 PIK3R1 PIK3R2 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R2A PPP2R2B PPP2R2C PPP2R3A PPP2R3B PPP2R4 PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PRKDC PTEN THEM4 WNK1 
AKT_Pathway_JNK_Pathway,0.0,AKT1 AKT2 CDC37 HSP90AA1 MAP3K5 MAPK8IP1 PDPK1 PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CD PIK3R1 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R2A PPP2R2B PPP2R2C PPP2R3A PPP2R3B PPP2R4 PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PRKDC PTEN THEM4 
AKT_Pathway_Neuroprotection,0.0,AKT1 AKT1S1 AKT2 AKT3 CDC37 HSP90AA1 PDPK1 PFKFB1 PFKFB2 PFKFB3 PFKFB4 PFKL PFKM PFKP PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CD PIK3R1 PIK3R1 PIK3R2 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R2A PPP2R2B PPP2R2C PPP2R3A PPP2R3B PPP2R4 PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PRKDC PTEN THEM4 
AKT_Pathway_NF_kB_Pathway,0.0,AKT1 AKT2 AKT3 CDC37 CHUK HSP90AA1 IKBKB IKBKE IKBKG PDPK1 PFKFB1 PFKFB2 PFKFB3 PFKFB4 PFKL PFKM PFKP PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CD PIK3R1 PIK3R1 PIK3R2 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PPP2CA PPP2CB PPP2R1A PPP2R1B PPP2R2A PPP2R2B PPP2R2C PPP2R3A PPP2R3B PPP2R4 PPP2R5A PPP2R5B PPP2R5C PPP2R5D PPP2R5E PRKDC PTEN THEM4 
AKT_Pathway_p53_Degradation,0.0,AKT1 AKT2 AKT3 MDM2 TP53 UBB UBC UBD 
